Name MGRS Lat(ddd_mm.mmm) Long(ddd_mm.mmm) Lat(ddd_mm_ss) Long(ddd_mm_ss)
ELGEX 37SCB3294117608 37°11.400' 037°07.070' 37°11'24" 037°07'04"
ELIKA 36SXC4604444926 33°50.070' 034°34.700' 33°50'04" 034°34'42"
EMADA 36SWD7356515947 34°28.950' 033°48.070' 34°28'57" 033°48'04"
EMILI 36SWD9557833431 34°38.300' 034°02.570' 34°38'18" 034°02'34"
EMLET 36SYF1852899982 37°01.238' 035°27.389' 37°01'14" 035°27'23"
ERIMO 36SVB9269265147 33°07.500' 032°55.300' 33°07'30" 032°55'18"
ESERI 36SVD4358915772 34°28.920' 032°23.140' 34°28'55" 032°23'08"
EVKIT 36SWF6758914140 36°16.190' 033°45.150' 36°16'11" 033°45'09"
FALCON 36SYG3910205711 37°04.033' 035°41.362' 37°04'02" 035°41'21"
FlRAS 37SDT0011248482 33°52.317' 037°55.200' 33°52'19" 037°55'12"
FIRAT 37SCB8046811127 37°08.333' 037°39.250' 37°08'20" 037°39'15"
GECEG 36SYF1345895950 36°59.129' 035°23.904' 36°59'08" 035°23'54"
GITLA 36SWA9842075955 32°18.967' 034°02.733' 32°18'58" 034°02'44"
GODED 36SXA4839759884 32°09.940' 034°34.430' 32°09'56" 034°34'25"
GOMSE 36SYF0540189506 36°55.754' 035°18.371' 36°55'45" 035°18'22"
GURLE 36SYG3518813232 37°08.155' 035°38.864' 37°08'09" 035°38'52"
HABIM 36SYG2212502843 37°02.733' 035°29.864' 37°02'44" 035°29'52"
HALAA 37SD39272951289 33°00.000' 038°55.330' 33°00'00" 038°55'20"
HAZEM 37SBR7699668756 32°14.000' 036°38.000' 32°13'60" 036°37'60"
IDAKU 36SVC7181571659 34°05.120' 032°41.670' 34°05'07" 032°41'40"
INITIAL05 36SYF0766491342 36°56.717' 035°19.925' 36°56'43" 035°19'55"
INITIAL23 36SYG2504705165 37°03.946' 035°31.875' 37°03'57" 035°31'53"
IVETI 36SVD7296544453 34°44.510' 032°42.280' 34°44'31" 032°42'16"
JAKUP 36SXF9607382070 36°51.854' 035°11.977' 36°51'51" 035°11'59"
JAYBY 36SYG2604305967 37°04.365' 035°32.561' 37°04'22" 035°32'34"
KAD 36SYC3010643559 33°48.433' 035°29.150' 33°48'26" 035°29'09"
KAMEL 37SBR8663079522 32°19.935' 036°43.986' 32°19'56" 036°43'59"
KAREM 37SDS1184235698 32°51.350' 038°03.470' 32°51'21" 038°03'28"
KAROL 36SVB5166236624 32°52.000' 032°29.000' 32°52'00" 032°28'60"
KETEK 36SVF5351582550 36°53.267' 032°28.700' 36°53'16" 032°28'42"
KILIS 37SCA5713163185 36°42.217' 037°24.033' 36°42'13" 037°24'01"
KOBER 36SXD0140745249 34°44.660' 034°06.470' 34°44'40" 034°06'28"
KOZAN 37SCA3565891379 36°57.250' 037°09.250' 36°57'15" 037°09'15"
KUKLA 36SXC6081392549 34°15.700' 034°44.800' 34°15'42" 034°44'48"
KUMLO 37SDS5007048586 32°58.470' 038°27.940' 32°58'28" 038°27'56"
